Date,Ticker Symbol,Close,Open,Volume
16-3-2012,GS,122.9300,123.1000,7427600
19-3-2012,GS,124.3000,122.9300,8021200
20-3-2012,GS,126.0200,123.4900,8247700
21-3-2012,GS,125.9900,126.6800,4820700
22-3-2012,GS,124.7400,124.7900,5029000
23-3-2012,GS,126.1800,125.8600,5161000
26-3-2012,GS,128.0700,127.2600,4444000
27-3-2012,GS,126.3300,128.5900,5447800
28-3-2012,GS,126.3600,126.1000,5192900
29-3-2012,GS,123.7600,125.6600,5538900
30-3-2012,GS,124.3700,124.6900,4654000
2-4-2012,GS,124.9000,124.1400,4084900
3-4-2012,GS,122.7100,124.3200,5598500
4-4-2012,GS,119.9600,120.8200,5635100
5-4-2012,GS,118.0000,119.4500,6104400
9-4-2012,GS,117.0200,116.0600,4049400
10-4-2012,GS,114.5600,117.2800,5771400
11-4-2012,GS,115.9300,116.3700,4181200
12-4-2012,GS,120.3900,116.5700,5517500
13-4-2012,GS,115.0900,119.9900,6377400
16-4-2012,GS,117.7300,117.1200,7137600
17-4-2012,GS,116.8600,119.3700,12902100
18-4-2012,GS,115.3300,114.7600,6642000
19-4-2012,GS,113.6000,115.1000,9245300
20-4-2012,GS,112.4400,113.9100,5374600
23-4-2012,GS,111.7500,110.5200,7049100
24-4-2012,GS,114.1100,111.5600,4703300
25-4-2012,GS,113.9800,115.1100,5081600
26-4-2012,GS,114.5600,113.4300,4589600
27-4-2012,GS,114.4100,114.2300,3684700
30-4-2012,GS,115.1500,114.1900,4240700
1-5-2012,GS,115.3300,114.8400,4309200
2-5-2012,GS,113.7700,114.1000,3957200
3-5-2012,GS,111.5300,113.9800,4856800
4-5-2012,GS,108.9900,110.7800,5500100
7-5-2012,GS,110.0400,108.5300,3268200
8-5-2012,GS,109.3700,108.9900,4065900
9-5-2012,GS,107.2900,107.3000,4780100
10-5-2012,GS,106.3200,108.5600,4694100
11-5-2012,GS,102.1300,103.4200,10634900
14-5-2012,GS,99.7700,100.8600,10077700
15-5-2012,GS,99.8700,100.1400,5657300
16-5-2012,GS,98.2000,100.5500,5798500
17-5-2012,GS,97.0800,98.5700,6377800
18-5-2012,GS,95.4900,97.5300,7189800
21-5-2012,GS,96.5100,94.8000,5315300
22-5-2012,GS,97.5300,96.8800,5839800
23-5-2012,GS,98.0400,96.7500,5469600
24-5-2012,GS,96.8600,98.3200,5177900
25-5-2012,GS,96.7000,96.5400,3096000
29-5-2012,GS,97.8600,97.0100,4529700
30-5-2012,GS,94.6100,96.6800,5713800
31-5-2012,GS,95.7000,94.9000,4834200
1-6-2012,GS,92.6400,94.0700,5385400
4-6-2012,GS,91.0000,92.7600,5334400
5-6-2012,GS,92.2100,90.9600,4684600
6-6-2012,GS,94.9600,93.0400,6406700
