Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
30-06-2016,23.9,23.61,35920357,23.6755,23.74402294,57.91168002,0.3,23.9725
01-07-2016,23.9725,23.8725,26008189,23.6895,23.78556423,60.41749627,0.0725,23.7475
05-07-2016,23.7475,23.8475,27711130,23.68675,23.77864346,49.0814939,-0.225,23.8825
06-07-2016,23.8825,23.65,30949090,23.67725,23.79752647,55.36286915,0.135,23.985
07-07-2016,23.985,23.925,25141808,23.687,23.83161256,60.04120677,0.1025,24.17
08-07-2016,24.17,24.1225,28912137,23.7015,23.89313755,67.68284232,0.185,24.245
11-07-2016,24.245,24.1875,23795245,23.791,23.95711254,70.53803376,0.075,24.355
12-07-2016,24.355,24.2925,24167463,23.9255,24.02945572,74.644886,0.11,24.2175
13-07-2016,24.2175,24.3525,25892171,24.0075,24.06364559,61.29462469,-0.1375,24.6975
14-07-2016,24.6975,24.3475,38918997,24.11725,24.17889184,78.26075321,0.48,24.695
15-07-2016,24.695,24.73,30136990,24.19675,24.27272969,78.0380499,-0.0025,24.9575
18-07-2016,24.9575,24.675,36727967,24.29525,24.39723338,84.01014261,0.2625,24.9675
19-07-2016,24.9675,24.89,23779807,24.41725,24.50091822,84.21454848,0.01,24.99
20-07-2016,24.99,25,26275968,24.528,24.58984218,84.7623939,0.0225,24.8575
21-07-2016,24.8575,24.9575,32702028,24.61525,24.63850724,67.51432962,-0.1325,24.665
22-07-2016,24.665,24.815,28313669,24.66475,24.64332411,49.29706764,-0.1925,24.335
25-07-2016,24.335,24.5625,40398921,24.67375,24.58726518,31.23620137,-0.33,24.1675
26-07-2016,24.1675,24.205,56239822,24.655,24.51094424,25.34481506,-0.1675,25.7375
27-07-2016,25.7375,26.0662,92344820,24.807,24.73395437,76.74152713,1.57,26.085
28-07-2016,26.085,25.7075,39869839,24.94575,24.97959903,80.4628816,0.3475,26.0525
29-07-2016,26.0525,26.0475,27734688,25.0815,25.17467194,78.98545627,-0.0325,26.5125
01-08-2016,26.5125,26.1025,38467871,25.237,25.4179134,84.13827494,0.46,26.12
02-08-2016,26.12,26.5125,34215997,25.35225,25.54556551,66.69557346,-0.3925,26.4475
03-08-2016,26.4475,26.2025,30202641,25.498,25.7095536,72.61651216,0.3275,26.4675
04-08-2016,26.4675,26.395,27483504,25.659,25.84736204,72.98316227,0.02,26.87
05-08-2016,26.87,26.5675,41632402,25.8795,26.03329621,79.7903503,0.4025,27.0925
08-08-2016,27.0925,26.88,28037220,26.15525,26.22587872,82.78716437,0.2225,27.2025
09-08-2016,27.2025,27.0575,26325204,26.45875,26.40344622,84.23209711,0.11,27
10-08-2016,27,27.1775,24008505,26.585,26.51191055,70.59527435,-0.2025,26.9825
11-08-2016,26.9825,27.13,27484509,26.67475,26.59747227,69.38187255,-0.0175,27.045
12-08-2016,27.045,26.945,18662535,26.774,26.67884094,71.56385711,0.0625,27.37
15-08-2016,27.37,27.035,26118621,26.85975,26.80450623,80.56603824,0.325,27.345
16-08-2016,27.345,27.4075,33794448,26.98225,26.90277782,78.18605967,-0.025,27.305
17-08-2016,27.305,27.275,25357626,27.068,26.97590913,73.82440773,-0.04,27.27
18-08-2016,27.27,27.3075,21985403,27.14825,27.0293802,69.57901363,-0.035,27.34
19-08-2016,27.34,27.1925,25368142,27.19525,27.08585652,73.40280268,0.07,27.1275
22-08-2016,27.1275,27.215,25820230,27.19875,27.09342806,49.69821774,-0.2125,27.2125
23-08-2016,27.2125,27.1475,21257669,27.19975,27.11507751,56.6912477,0.085,27.0075
24-08-2016,27.0075,27.1413,23675081,27.2005,27.09551796,39.94848075,-0.205,26.8925
25-08-2016,26.8925,26.8475,25120248,27.1915,27.0586056,33.09478563,-0.115,26.735
26-08-2016,26.735,26.8525,27766291,27.1605,26.99976822,25.58132146,-0.1575,26.705
29-08-2016,26.705,26.655,24970300,27.094,26.946174,24.26944998,-0.03,26.5
30-08-2016,26.5,26.45,24864530,27.0095,26.86505145,16.8767894,-0.205,26.525
31-08-2016,26.525,26.415,29662406,26.9315,26.80322392,20.5652693,0.025,26.6825
01-09-2016,26.6825,26.535,26701669,26.87275,26.78127411,41.13514798,0.1575,26.9325
02-09-2016,26.9325,26.925,26802450,26.832,26.80876973,61.1144105,0.25,26.925
06-09-2016,26.925,26.975,26880391,26.81175,26.82990251,60.34633212,-0.0075,27.09
07-09-2016,27.09,26.9575,42366642,26.7995,26.87719296,70.53122896,0.165,26.38
08-09-2016,26.38,26.8125,53002026,26.73675,26.78679424,29.61603549,-0.71,25.7825
09-09-2016,25.7825,26.16,46559899,26.62575,26.60419529,18.39243882,-0.5975,26.36
12-09-2016,26.36,25.6625,45292771,26.58825,26.55979614,44.02221978,0.5775,26.9875
13-09-2016,26.9875,26.8775,62176291,26.6165,26.63756048,60.76046975,0.6275,27.9425
14-09-2016,27.9425,27.1825,112340320,26.76075,26.87482221,74.98827008,0.955,28.8925
15-09-2016,28.8925,28.465,90613177,26.9975,27.24167272,82.76078661,0.95,28.73
16-09-2016,28.73,28.78,79886911,27.20225,27.51227768,77.60441591,-0.1625,28.395
19-09-2016,28.395,28.7975,47023046,27.3485,27.67277265,66.86842638,-0.335,28.3925
20-09-2016,28.3925,28.2625,34513869,27.49525,27.80363217,66.78224333,-0.0025,28.3875
21-09-2016,28.3875,28.4625,36003185,27.625,27.90978995,66.5677545,-0.005,28.655
22-09-2016,28.655,28.5875,31074409,27.8525,28.04528269,72.478918,0.2675,28.1775
23-09-2016,28.1775,28.605,52481151,28.092,28.0693222,51.97416481,-0.4775,28.22
26-09-2016,28.22,27.91,29875658,28.278,28.09671816,53.43966051,0.0425,28.2725
27-09-2016,28.2725,28.25,24607412,28.4065,28.1286785,55.53478764,0.0525,28.4875
28-09-2016,28.4875,28.4225,29641085,28.461,28.19391877,63.85962983,0.215,28.045
29-09-2016,28.045,28.29,35886990,28.37625,28.16684263,43.10006028,-0.4425,28.2625
30-09-2016,28.2625,28.115,36379059,28.3295,28.18423488,52.57279687,0.2175,28.13
03-10-2016,28.13,28.1775,21701760,28.303,28.17437399,46.65779973,-0.1325,28.25
04-10-2016,28.25,28.265,29736835,28.28875,28.18812418,52.68440988,0.12,28.2625
05-10-2016,28.2625,28.35,21453089,28.27625,28.20164705,53.37037631,0.0125,28.4725
06-10-2016,28.4725,28.425,28779313,28.258,28.25089304,64.25345886,0.21,28.515
07-10-2016,28.515,28.5775,24359031,28.29175,28.29891249,66.24637958,0.0425,29.0125
10-10-2016,29.0125,28.755,36235956,28.371,28.42865567,81.4108971,0.4975,29.075
11-10-2016,29.075,29.425,65149203,28.45125,28.54617282,82.63595359,0.0625,29.335
12-10-2016,29.335,29.3375,37586787,28.536,28.68959595,87.06771444,0.26,29.245
13-10-2016,29.245,29.1975,35203872,28.656,28.7905785,78.40869385,-0.09,29.4075
14-10-2016,29.4075,29.47,35652191,28.7705,28.90274605,82.36662281,0.1625,29.3875
17-10-2016,29.3875,29.3325,23624909,28.89625,28.99088313,80.10745416,-0.02,29.3675
18-10-2016,29.3675,29.545,24553478,29.008,29.05935892,77.45199271,-0.02,29.28
19-10-2016,29.28,29.3125,20051741,29.10975,29.09947548,65.56603772,-0.0875,29.265
20-10-2016,29.265,29.215,24125801,29.189,29.12957085,63.47856036,-0.015,29.15
21-10-2016,29.15,29.2025,23192665,29.2525,29.13328524,48.63839701,-0.115,29.4125
24-10-2016,29.4125,29.275,23540502,29.2925,29.18405156,69.18997416,0.2625,29.5625
25-10-2016,29.5625,29.4875,48129470,29.34125,29.25286037,76.03844424,0.15,28.8975
26-10-2016,28.8975,28.5775,66134299,29.2975,29.18824939,34.07038265,-0.665,28.62
27-10-2016,28.62,28.8475,34562060,29.235,29.08493132,26.45427727,-0.2775,28.43
28-10-2016,28.43,28.4675,37861859,29.13725,28.9658529,22.2058847,-0.19,28.385
31-10-2016,28.385,28.4125,26419398,29.037,28.86024328,21.19804054,-0.045,27.8725
01-11-2016,27.8725,28.365,43831702,28.8875,28.68065359,12.87753853,-0.5125,27.8975
02-11-2016,27.8975,27.85,28331709,28.74925,28.53826203,14.91396279,0.025,27.4575
03-11-2016,27.4575,27.745,26982612,28.5685,28.34175984,9.84917958,-0.44,27.21
04-11-2016,27.21,27.1325,31136997,28.3745,28.13598533,7.95070077,-0.2475,27.6025
07-11-2016,27.6025,27.52,32560000,28.1935,28.03898799,33.39909142,0.3925,27.765
08-11-2016,27.765,27.5775,24254179,28.01375,27.989172,41.73530832,0.1625,27.72
09-11-2016,27.72,27.47,59176369,27.896,27.94023163,40.0021381,-0.045,26.9475
10-11-2016,26.9475,27.7725,57135292,27.72875,27.75973497,21.15267748,-0.7725,27.1075
11-11-2016,27.1075,26.78,34146547,27.5965,27.6411468,29.72587231,0.16,26.4275
14-11-2016,26.4275,26.9275,51175794,27.40075,27.42048374,18.84202784,-0.68,26.7775
15-11-2016,26.7775,26.6425,32286985,27.29125,27.30357761,34.31526886,0.35,27.4975
16-11-2016,27.4975,26.675,62154522,27.25125,27.33883622,55.92391577,0.72,27.4875
17-11-2016,27.4875,27.4525,27632003,27.25425,27.365866,55.60632719,-0.01,27.515
18-11-2016,27.515,27.43,28428917,27.28475,27.39298127,56.45635817,0.0275,27.9325
21-11-2016,27.9325,27.53,29264787,27.31775,27.49107559,68.06172622,0.4175,27.95
22-11-2016,27.95,27.9875,25965534,27.33625,27.57451639,68.50158619,0.0175,27.8075
23-11-2016,27.8075,27.84,27426394,27.345,27.61687705,60.07956033,-0.1425,27.9475
25-11-2016,27.9475,27.7825,11475948,27.445,27.67699031,65.31633733,0.14,27.8925
28-11-2016,27.8925,27.8575,27173993,27.5235,27.71617389,61.36337506,-0.055,27.865
29-11-2016,27.865,27.695,28528750,27.66725,27.74323318,59.1268905,-0.0275,27.63
30-11-2016,27.63,27.9,36162258,27.7525,27.72264533,42.55828478,-0.235,27.3725
01-12-2016,27.3725,27.5912,37086862,27.74,27.65898254,30.75434885,-0.2575,27.475
02-12-2016,27.475,27.2925,26527997,27.73875,27.62553117,39.15179357,0.1025,27.2775
